Tone Category,Reviewer Identity,Confounder,Group 1,Group 2,Group 1 Mean,Group 1 SE,Group 1 Size,Group 2 Mean,Group 2 SE,Group 2 Size,U-statistic,P-value,Significance,Effect Size (RBC),Effect Size CI Lower,Effect Size CI Upper,Higher Group
Constructiveness,Disclosed,uni_rank,Top100,Other,2.6479279088341134,0.09241035410457425,4069,2.9216437624087432,0.057217379929373674,12299,25065676.5,0.8432110156268382,,0.0017328931848852314,,,Other
Clarifications,Disclosed,uni_rank,Top100,Other,3.093908736602015,0.08678302565790515,4069,3.3848100529622696,0.055826572270886575,12299,25075081.0,0.81953710489473,,0.002108737698555574,,,Other
Critique,Disclosed,uni_rank,Top100,Other,1.5022054273093635,0.06544145011982552,4069,1.639113586205674,0.039467762549578386,12299,24996653.5,0.8963464283852806,,-0.001025564560561909,,,Other
Appreciation,Undisclosed,gender,Male,Female,2.41869967750918,0.03376911063603588,43289,2.879686767694279,0.0542266457099419,20375,427125053.0,2.865380972879734e-16,***,-0.03147715191960665,,,Female
Constructiveness,Undisclosed,gender,Male,Female,2.7953678363760486,0.028013719266627178,43289,2.9621814883457875,0.04355205307702264,20375,437235147.5,0.041908536570666316,*,-0.008552115210270994,,,Female
Clarifications,Undisclosed,gender,Male,Female,3.4307435786882317,0.02824830348536259,43289,3.6233563527152266,0.042353085283665624,20375,432397351.0,1.1765945586793926e-05,***,-0.019522008949127367,,,Female
Critique,Undisclosed,gender,Male,Female,1.7086949157046523,0.02048362739664286,43289,1.8030842274726238,0.03131594919939577,20375,438731030.0,0.18374159307922933,,-0.00516014283796995,,,Female
Appreciation,Undisclosed,race,White,NonWhite,2.718345109654663,0.04512945532326352,26402,2.4584552800806034,0.03737853518411325,37262,515715509.0,2.697857020298957e-40,***,0.048424592530763144,,,White
Constructiveness,Undisclosed,race,White,NonWhite,2.6309223345378028,0.0338733359110491,26402,3.003100064877385,0.03238797776076503,37262,485667633.0,0.0014678055232387932,**,-0.012661280594907898,,,NonWhite
Clarifications,Undisclosed,race,White,NonWhite,3.436604547522324,0.03457118980655154,26402,3.5319121679116314,0.03183634396702295,37262,500252623.0,5.639587131450847e-05,***,0.016989295994238818,,,NonWhite
Critique,Undisclosed,race,White,NonWhite,1.658079095732429,0.025793570878337693,26402,1.7961711946531533,0.022920939762495932,37262,495779303.5,0.03170808018031497,*,0.007895254624140202,,,NonWhite
Appreciation,Undisclosed,region,Western,Eastern,2.6590446091392486,0.0358710564094123,39609,2.4177869396109544,0.04835180147103272,23935,509795656.5,4.591977688044584e-92,***,0.0754712788575802,,,Western
Constructiveness,Undisclosed,region,Western,Eastern,2.6187076378699095,0.027249698174140132,39609,3.234453412478945,0.043546426892755334,23935,468162066.0,0.0022804435972672375,**,-0.012359463220285583,,,Eastern
Clarifications,Undisclosed,region,Western,Eastern,3.4085534999126033,0.028159648608436567,39609,3.6328614967410666,0.04159271273940841,23935,485969296.5,4.322709105009749e-09,***,0.025206892464713748,,,Eastern
Critique,Undisclosed,region,Western,Eastern,1.6617709906891216,0.02049880213944753,39609,1.8696569192707955,0.030502100592183806,23935,482748725.5,8.553337705290007e-07,***,0.01841273569256474,,,Eastern
Appreciation,Undisclosed,uni_rank,Top100,Other,2.3933745113654914,0.04624779510608356,20910,2.650775300528919,0.03641967995104925,42754,453451338.5,0.00015710969493775036,***,0.014448251960595293,,,Other
Constructiveness,Undisclosed,uni_rank,Top100,Other,2.5424707415872683,0.0360862118295617,20910,2.9985513142007396,0.030371693853676638,42754,444458182.0,0.17440949633953284,,-0.0056709782995070235,,,Other
Clarifications,Undisclosed,uni_rank,Top100,Other,3.29501358362833,0.03636726976682582,20910,3.588918239948057,0.03014486344998064,42754,450333603.0,0.09125737270920269,,0.007473344049830466,,,Other
Critique,Undisclosed,uni_rank,Top100,Other,1.5707939739336452,0.025804594351038476,20910,1.8211216107438104,0.02220769025036862,42754,448028671.0,0.5479196860608045,,0.0023168166790594746,,,Other
Appreciation,All,gender,Male,Female,2.572503603196538,0.031727970623815833,53809,3.0621897488146828,0.051371391088821286,26223,682990160.0,1.5135953831550424e-20,***,-0.03192914269534375,,,Female
Constructiveness,All,gender,Male,Female,2.8089771239694614,0.025485884748004714,53809,2.933401644555033,0.03840533627417032,26223,701715297.5,0.14652052892013165,,-0.005388116229058215,,,Female
Clarifications,All,gender,Male,Female,3.408117261744305,0.02549269646402215,53809,3.553020486512787,0.03727114295999762,26223,695476589.5,0.000293486227081717,***,-0.014230866470194115,,,Female
Critique,All,gender,Male,Female,1.6853537790545559,0.018302656077461794,53809,1.7652543844721114,0.02776914358529485,26223,703540213.0,0.4112732190526853,,-0.00280147938410924,,,Female
Appreciation,All,race,White,NonWhite,2.88919864213403,0.04280695105391466,32876,2.6240214099747976,0.035177528516338194,47156,814390429.5,8.523345781700006e-54,***,0.05062256969076584,,,White
Constructiveness,All,race,White,NonWhite,2.6436396690417716,0.030750435109918005,32876,2.993437603474044,0.02900517704812677,47156,767516710.0,0.005409330515741693,**,-0.00984791946059782,,,NonWhite
Clarifications,All,race,White,NonWhite,3.384282277644602,0.031150046780600026,32876,3.505313720315129,0.02835788477956891,47156,786113361.5,0.00016190175626288328,***,0.0141431063162758,,,NonWhite
Critique,All,race,White,NonWhite,1.627353793419145,0.022886174423052692,32876,1.7702218998369448,0.02049212547720843,47156,781052026.0,0.019251291709470496,*,0.007613617367907555,,,NonWhite
Appreciation,All,region,Western,Eastern,2.8086154915924735,0.034341160852511314,48833,2.6190183410169117,0.044581958220866476,31072,814224803.0,2.1709642333353415e-108,***,0.0732272957839053,,,Western
Constructiveness,All,region,Western,Eastern,2.6307251315186044,0.024910722990393954,48833,3.1981180752219167,0.0381855968536354,31072,752672782.5,0.02707133633902203,*,-0.007904239718152462,,,Eastern
Clarifications,All,region,Western,Eastern,3.3687859505800963,0.025441884914791723,48833,3.5935599686566384,0.036525777150604254,31072,778018214.0,1.6425264266305985e-11,***,0.02550349830333487,,,Eastern
Critique,All,region,Western,Eastern,1.6282903906144393,0.018353231038123904,48833,1.8448835885103656,0.026840098148024537,31072,771582020.5,2.2115512907454524e-07,***,0.017019970757015557,,,Eastern
Appreciation,All,uni_rank,Top100,Other,2.5450933346109483,0.04493232199266196,24979,2.8181890498669113,0.03384928106448178,55053,698344805.5,6.921781649718096e-06,***,0.01564951345499721,,,Other
Constructiveness,All,uni_rank,Top100,Other,2.5596493801847866,0.033750949602920695,24979,2.98136994389413,0.02682768547677256,55053,685461035.0,0.4113415211926117,,-0.0030882148659315822,,,Other
Clarifications,All,uni_rank,Top100,Other,3.262254240878417,0.033567900834836246,24979,3.5433198785192848,0.02652757648551751,55053,693557405.0,0.02910457153755846,*,0.008686877017746175,,,Other
Critique,All,uni_rank,Top100,Other,1.5596211168851564,0.024088306075231655,24979,1.780460489755044,0.019372156469680435,55053,690236839.5,0.26402657619084413,,0.003857556733684264,,,Other
